risk_threshold,flagged_share,precision_unmerged,recall_unmerged,f1_unmerged
0.1,0.6658820639826433,0.1876248732056681,0.8760045924225028,0.3090554669502038
0.15000000000000002,0.2616615838058006,0.29137984981226533,0.5345866819747417,0.3771769947347104
0.2,0.150132017929877,0.3826857532379005,0.40284156142365096,0.3925050688666713
0.25,0.0915324313813783,0.4798747763864043,0.30797933409873707,0.3751748251748252
0.30000000000000004,0.05943877028880201,0.5833333333333334,0.2431113662456946,0.343192868719611
0.35,0.04138608592422785,0.6864490603363007,0.1991963260619977,0.3087875417130145
0.4,0.03164336737826719,0.7671410090556274,0.17020665901262916,0.27859995301855767
0.45000000000000007,0.026239842806557914,0.8369734789391575,0.15398966704936853,0.26012121212121214
0.5,0.022883107845344575,0.8756708407871199,0.14049942594718715,0.24214692060351226
0.55,0.020099473975070104,0.9175152749490835,0.12930539609644087,0.22666666666666666
0.6,0.018380170702253517,0.9365256124721604,0.12069460390355913,0.2138316806509026
0.65,0.01686554639048652,0.9490291262135923,0.11222732491389208,0.20071868583162217
0.7000000000000001,0.015187178909879853,0.9609164420485176,0.10232491389207807,0.18495460440985734
0.75,0.013795361974742616,0.9747774480712166,0.09428817451205511,0.1719445171421094
0.8,0.012342141351290501,0.9867330016583747,0.08539035591274398,0.15717870822876767
0.85,0.010438627013529279,0.9921568627450981,0.07261768082663606,0.13533030221984488
0.9,0.008330433714718465,1.0,0.058409873708381174,0.1103728813559322
